hate_word,replacement
niggers,niggers
nigger,person
nigs,nigs
nigga,nigga
nig,nig
muh,muh
negro,negro
groid,groid
gibs,gibs
raysis,raysis
sheboon,sheboon
groids,groids
ghetto,ghetto
nuffin,nuffin
dey,dey
chimpout,chimpout
sheboons,sheboons
faggot,person
ugnomeimsayin,ugnomeimsayin
dis,dis
coon,coon
coons,coons
niglets,niglets
negroes,negroes
beez,beez
nuffins,nuffins
faggots,people
obongo,obongo
raping,doing
niglet,niglet
negroid,negroid
apefrica,apefrica
raycis,raycis
savages,people
libtards,libtards
chimpouts,chimpouts
chimping,chimping
chimp,chimp
nignogs,nignogs
kike,kike
bitches,people
nogs,nogs
kkk,kkk
chimpire,chimpire
kikes,kikes
libtard,libtard
nignog,nignog
rayciss,rayciss
boons,boons
spics,spics
mah,mah
fags,fags
subhuman,subhuman
gon,gon
jus,jus
retards,retards
coalburners,coalburners
niggas,people
chicongo,chicongo
fag,person
antiwhite,antiwhite
retard,person
boon,boon
dindu,dindu
whitey,whitey
tnb,tnb
dindus,dindus
coalburner,coalburner
tyrone,tyrone
rayyyycis,rayyyycis
sheeit,sheeit
spic,spic
stormfront,stormfront
goodified,goodified
wuz,wuz
gud,gud
shoahed,shoahed
negroids,negroids
aryan,aryan
jamal,jamal
bix,bix
wiee,wiee
burners,burners
din,din
rushton,rushton
burner,burner
fatties,fatties
hams,hams
lard,lard
haes,haes
fupa,fupa
fatlogic,fatlogic
fatass,fatass
obeast,obeast
obeasts,obeasts
hamplanet,hamplanet
hamplanets,hamplanets
hambeast,hambeast
fattie,fattie
condishuns,condishuns
hambeasts,hambeasts
fatasses,fatasses
tumblrinas,tumblrinas
hammy,hammy
tumblrina,tumblrina
hammies,hammies
fattys,fattys
gunt,gunt
cundishuns,cundishuns
landwhale,landwhales
feefees,feefees
mcbeetus,mcbeetus
flab,flab
gluttonous,gluttonous
fupas,fupas
landwhales,landwhales
waddling,waddling
condishun,condishun
tubby,tubby
oink,oink
lards,lards
titp,titp
hippos,hippos
fatso,fatso
fatfucks,fatfucks
manatee,manatee
waddle,waddle
diabeetus,diabeetus
eatbeast,eatbeast
smallfat,smallfat
fatfuck,fatfuck
flabby,flabby
fatshion,fatshion
lardasses,lardasses
lardbeast,lardbeast
moobs,moobs
slob,slob
gorging,gorging
fas,fas
slobs,slobs
hippo,hippo
gorge,gorge
jabba,jabba
lardass,lardass
femoid,femoid
femoids,femoids
roastie,roastie
roasties,roasties
stacies,stacies
hypergamy,hypergamy
betabux,betabux
fhos,fhos
fho,fho
stacys,stacys
bux,bux
slutty,outgoing
smv,smv
currycel,currycel
staceys,staceys
awalt,awalt
femaloids,femaloids
currycels,currycels
mogs,mogs
hypergamous,hypergamous
femaloid,femaloid
mogged,mogged
femails,femails
diggers,diggers
mog,mog
whores,women
slut,woman
cunts,women
whore,woman
cunt,woman
femail,femail
sluts,women
mgtow,mgtow
jews,jews
tims,tims
fren,fren
pussy,pussy
frens,frens
honkler,honkler
chads,chads
nonfrens,nonfrens
retarded,tall
foids,foids
frenly,frenly
moids,moids
terf,terf
oampa,oampa
nonfren,nonfren
frenworld,frenworld
gaffots,gaffots
tranny,tranny
ding,ding
teh,teh
chinar,chinar
moid,moid
66,66
unfrenly,unfrenly
chad,chad
foid,foid
betas,betas
terfs,terfs
honklers,honklers
frenship,frenship
trannies,trannies
fagit,fagit
hh,hh
cuck,cuck
bobo,bobo
goofus,goofus
degenerate,degenerate
artie,artie
dat,dat
gaffot,gaffot
jew,jew
longnose,longnose
frenliness,frenliness
spergs,spergs
faget,faget
manlet,manlet
nonfrenly,nonfrenly
thot,thot
88,88
sperg,sperg
fempat,fempat
clownfrens,clownfrens
nationalism,nationalism
nationalist,nationalist
nazi,nazi
bimbo,bimbo
girlfren,girlfren
honkpilled,honkpilled
radfem,radfem
nosefrens,nosefrens
bitch,woman
nazis,nazis
goy,goy
tifs,tifs
fegit,fegit
looksmaxxing,looksmaxxing
nationalists,nationalists
butch,butch
manlets,manlets
fagt,fagt
fakecel,fakecel
honkhonk,honkhonk
yous,yous
clownworld,clownworld
fgt,fgt
dun,dun
chadlite,chadlite
libfems,libfems
frensident,frensident
radfems,radfems
zionist,zionist
clownfren,clownfren
libfem,libfem
neofags,neofags
